TEAM,Over/Under
ATL,42.5
BRK,37.5
BOS,55.5
CHO,31.5
CHI,37.5
CLE,50.5
DAL,43.5
DEN,52.5
DET,27.5
GSW,47.5
HOU,31.5
IND,38.5
LAC,46.5
LAL,47.5
MEM,45.5
MIA,45.5
MIL,54.5
MIN,44.5
NOP,44.5
NYK,44.5
OKC,44.5
ORL,36.5
PHI,49.5
PHO,51.5
POR,28.5
SAC,44.5
SAS,29.5
TOR,35.5
UTA,35.5
WAS,24.5
